Date,AAPL,BTC-USD,GLD,TSLA
2025-01-01,,94419.7578125,,
2025-01-02,242.3019256591797,96886.875,245.4199981689453,379.2799987792969
2025-01-03,241.8150177001953,98107.4296875,243.49000549316406,410.44000244140625
2025-01-04,,98236.2265625,,
2025-01-05,,98314.9609375,,
2025-01-06,243.4446258544922,102078.0859375,243.19000244140625,411.04998779296875
2025-01-07,240.67234802246094,96922.703125,244.55999755859375,394.3599853515625
2025-01-08,241.15921020507812,95043.5234375,245.86000061035156,394.94000244140625
2025-01-09,,92484.0390625,,
2025-01-10,235.34637451171875,94701.453125,248.2100067138672,394.739990234375
2025-01-11,,94566.59375,,
2025-01-12,,94488.4375,,
2025-01-13,232.91192626953125,94516.5234375,245.74000549316406,403.30999755859375
2025-01-14,231.79901123046875,96534.046875,247.02999877929688,396.3599853515625
2025-01-15,236.35989379882812,100504.4921875,248.8800048828125,428.2200012207031
2025-01-16,226.81085205078125,99756.90625,250.60000610351562,413.82000732421875
2025-01-17,228.5199737548828,104462.0390625,249.27000427246094,426.5
2025-01-18,,104408.0703125,,
2025-01-19,,101089.609375,,
2025-01-20,,102016.6640625,,
2025-01-21,221.2265625,106146.265625,253.1300048828125,424.07000732421875
2025-01-22,222.40902709960938,103653.0703125,254.42999267578125,415.1099853515625
2025-01-23,222.24009704589844,103960.171875,254.07000732421875,412.3800048828125
2025-01-24,221.3656768798828,104819.484375,255.64999389648438,406.5799865722656
2025-01-25,,104714.6484375,,
2025-01-26,,102682.5,,
2025-01-27,228.40072631835938,102087.6875,252.99000549316406,397.1499938964844
2025-01-28,236.7473907470703,101332.4765625,255.17999267578125,398.0899963378906
2025-01-29,237.84042358398438,103703.2109375,254.1999969482422,389.1000061035156
2025-01-30,236.0816650390625,104735.3046875,258.04998779296875,400.2799987792969
2025-01-31,234.5017547607422,102405.0234375,258.55999755859375,404.6000061035156
2025-02-01,,100655.90625,,
2025-02-02,,97688.9765625,,
2025-02-03,226.56246948242188,101405.421875,259.94000244140625,383.67999267578125
2025-02-04,231.32208251953125,97871.8203125,262.5,392.2099914550781
2025-02-05,230.99417114257812,96615.4453125,264.1300048828125,378.1700134277344
2025-02-06,231.73941040039062,96593.296875,263.42999267578125,374.32000732421875
2025-02-07,226.1848907470703,96529.0859375,263.8999938964844,361.6199951171875
2025-02-08,,96482.453125,,
2025-02-09,,96500.09375,,
2025-02-10,226.45346069335938,97437.5546875,268.3699951171875,350.7300109863281
2025-02-11,231.3973388671875,95747.4296875,267.3900146484375,328.5
2025-02-12,235.625,97885.859375,267.6700134277344,336.510009765625
2025-02-13,240.26051330566406,96623.8671875,270.30999755859375,355.94000244140625
2025-02-14,243.31439208984375,97508.96875,266.2900085449219,355.8399963378906
2025-02-15,,97580.3515625,,
2025-02-16,,96175.03125,,
2025-02-17,,95773.3828125,,
2025-02-18,243.18508911132812,95539.546875,270.70001220703125,354.1099853515625
2025-02-19,243.5829620361328,96635.609375,270.8500061035156,360.55999755859375
2025-02-20,244.53790283203125,98333.9375,270.989990234375,354.3999938964844
2025-02-21,244.25938415527344,96125.546875,270.739990234375,337.79998779296875
2025-02-22,,96577.7578125,,
2025-02-23,,96273.921875,,
2025-02-24,245.80125427246094,91418.171875,272.2099914550781,330.5299987792969
2025-02-25,245.74156188964844,88736.171875,268.6199951171875,302.79998779296875
2025-02-26,239.0966796875,84347.0234375,269.0299987792969,290.79998779296875
2025-02-27,236.05274963378906,84704.2265625,264.92999267578125,281.95001220703125
2025-02-28,240.56887817382812,84373.0078125,263.2699890136719,292.9800109863281
2025-03-01,,86031.9140625,,
2025-03-02,,94248.3515625,,
2025-03-03,236.77891540527344,86065.671875,266.739990234375,284.6499938964844
2025-03-04,234.68995666503906,87222.1953125,269.05999755859375,272.0400085449219
2025-03-05,234.50096130371094,90623.5625,269.6199951171875,279.1000061035156
2025-03-06,234.09312438964844,89961.7265625,268.25,263.45001220703125
2025-03-07,237.81346130371094,86742.671875,268.3900146484375,262.6700134277344
2025-03-08,,86154.59375,,
2025-03-09,,80601.0390625,,
2025-03-10,226.28436279296875,78532.0,266.0400085449219,222.14999389648438
2025-03-11,219.6792755126953,82862.2109375,269.1600036621094,230.5800018310547
2025-03-12,215.8395538330078,83722.359375,270.3299865722656,248.08999633789062
2025-03-13,208.5779266357422,81066.703125,275.1300048828125,240.67999267578125
2025-03-14,212.36788940429688,83969.1015625,275.239990234375,249.97999572753906
2025-03-15,,84343.109375,,
2025-03-16,,82579.6875,,
2025-03-17,212.87522888183594,84075.6875,276.7300109863281,238.00999450683594
2025-03-18,211.57211303710938,82718.5,279.9599914550781,225.30999755859375
2025-03-19,214.1086883544922,86854.2265625,281.1099853515625,235.86000061035156
2025-03-20,212.97471618652344,84167.1953125,280.75,236.25999450683594
2025-03-21,217.12277221679688,84043.2421875,278.489990234375,248.7100067138672
2025-03-22,,83832.484375,,
2025-03-23,,86054.375,,
2025-03-24,219.56985473632812,87498.9140625,277.25,278.3900146484375
2025-03-25,222.57395935058594,87471.703125,278.4700012207031,288.1400146484375
2025-03-26,220.36563110351562,86900.8828125,278.239990234375,272.05999755859375
2025-03-27,222.67344665527344,87177.1015625,281.9700012207031,273.1300048828125
2025-03-28,216.7547149658203,84353.1484375,284.05999755859375,263.54998779296875
2025-03-29,,82597.5859375,,
2025-03-30,,82334.5234375,,
2025-03-31,220.96249389648438,82548.9140625,288.1400146484375,259.1600036621094
2025-04-01,222.0169219970703,85169.171875,287.57000732421875,268.4599914550781
2025-04-02,222.71322631835938,82485.7109375,288.1600036621094,282.760009765625
2025-04-03,202.12205505371094,83102.828125,286.4200134277344,267.2799987792969
2025-04-04,187.38986206054688,83843.8046875,279.7200012207031,239.42999267578125
2025-04-05,,83504.796875,,
2025-04-06,,78214.484375,,
2025-04-07,180.50625610351562,79235.3359375,273.7099914550781,233.2899932861328
2025-04-08,171.5137481689453,76271.953125,275.20001220703125,221.86000061035156
2025-04-09,197.80487060546875,82573.953125,285.3800048828125,272.20001220703125
2025-04-10,189.41917419433594,79626.140625,292.3500061035156,252.39999389648438
2025-04-11,197.1085205078125,83404.8359375,297.92999267578125,252.30999755859375
2025-04-12,,85287.109375,,
2025-04-13,,83684.9765625,,
2025-04-14,201.45555114746094,84542.390625,296.2300109863281,252.35000610351562
2025-04-15,201.07754516601562,83668.9921875,297.7799987792969,254.11000061035156
2025-04-16,193.24893188476562,84033.8671875,307.4700012207031,241.5500030517578
2025-04-17,195.9446563720703,84895.75,306.1199951171875,241.3699951171875
2025-04-18,,84450.8046875,,
2025-04-19,,85063.4140625,,
2025-04-20,,85174.3046875,,
2025-04-21,192.14476013183594,87518.90625,315.5899963378906,227.5
2025-04-22,198.69017028808594,93441.890625,311.1099853515625,237.97000122070312
2025-04-23,203.52462768554688,93699.109375,303.6499938964844,250.74000549316406
2025-04-24,207.27479553222656,93943.796875,308.07000732421875,259.510009765625
2025-04-25,208.18002319335938,94720.5,304.7300109863281,284.95001220703125
2025-04-26,,94646.9296875,,
2025-04-27,,93754.84375,,
2025-04-28,209.03549194335938,94978.75,309.07000732421875,285.8800048828125
2025-04-29,210.09988403320312,94284.7890625,306.05999755859375,292.0299987792969
2025-04-30,211.3831024169922,94207.3125,303.7699890136719,282.1600036621094
2025-05-01,212.1988067626953,96492.3359375,297.4599914550781,280.5199890136719
2025-05-02,204.27069091796875,96910.0703125,297.9800109863281,287.2099914550781
2025-05-03,,95891.796875,,
2025-05-04,,94315.9765625,,
2025-05-05,197.84463500976562,94748.0546875,306.8800048828125,280.260009765625
2025-05-06,197.46661376953125,96802.4765625,315.4800109863281,275.3500061035156
2025-05-07,195.218505859375,97032.3203125,310.75,276.2200012207031
